R_sphere_nm,baseline_nm,centroid,condensate_idx,cos_theta,h_cap_nm,r_contact_nm,wetting_angle_deg
1474.0194565220859,30.545270512208884,"(np.float64(568.6933513069616), np.float64(441.543584499295))",1,0.9965818100015102,5.03847856386313,1098.3671256201367,26.455388364031073
347488.65530407993,23.12533384168067,"(np.float64(1293.9535868702021), np.float64(201.61545927821408))",2,0.9999943517513189,1.9627023390361904,501.53099322938823,0.13763391892234067
3844.747905339876,13.383320112061162,"(np.float64(1552.4509930828042), np.float64(321.36195946765906))",3,0.994978335622668,19.307033596066884,635.694047057701,7.630710505798971
55596.99118572227,14.377412359866435,"(np.float64(329.56027412650263), np.float64(298.06077968767556))",4,0.9997950756131033,11.393179332036853,741.4447255912327,0.9620397306634922
18084.212885402303,17.13449267494418,"(np.float64(870.1749190586404), np.float64(445.12357816858224))",5,0.9992333016179228,13.865136760377249,1107.272582508911,2.8770537118322457
1787.0556530467986,20.728955195231862,"(np.float64(186.47765645805592), np.float64(500.50450066577895))",6,0.9920859203019167,14.1429008631227,463.8747673085968,11.128992057993592
15743.599373203022,21.016282889694466,"(np.float64(1332.9520896084337), np.float64(530.6826054216867))",7,0.9990829160235078,14.438202717477022,981.9853798998813,3.015035742873791
2476.6834198804136,20.6120577354998,"(np.float64(1577.7119784317679), np.float64(728.0318988107236))",8,0.9873662928743917,31.289692969618976,475.5259103531818,10.093392584606285
1869.5213943644749,21.0008623466169,"(np.float64(236.80209564750135), np.float64(875.2386351423966))",9,0.9888488405344372,20.84733119283957,589.0599394216451,13.465251844510753
100116.53956125132,20.309443294938024,"(np.float64(860.890681105548), np.float64(1108.8618507560816))",10,0.99990729878934,9.280924424409662,1741.6371871739263,0.8884666602647224
2420.2341682507404,0,"(np.float64(1765.836195461227), np.float64(978.716954074499))",11,0.9925942681353427,17.923605299747013,104.885085917346,4.730566392089594
23999.530029641013,20.190292323307183,"(np.float64(326.5674041591921), np.float64(1108.8937612118796))",12,0.9993476378842594,15.656384186916256,812.3567267641594,2.0047294035736023
2113.3575992914293,19.06331654453963,"(np.float64(1500.835660619388), np.float64(1123.78673263698))",13,0.9897732873301788,21.61270093653671,764.0903964691844,14.698386485462121
59308.55608921758,21.387581484123785,"(np.float64(1256.8206961545554), np.float64(1382.4236340169225))",14,0.99978151245341,12.958180911730947,1061.1352387638742,1.1114538356411885
271294.589854561,18.415960814755483,"(np.float64(325.16785832141676), np.float64(1440.529820701793))",15,0.9999772790455105,6.1640720293330205,808.8752694562605,0.2785324631928147
13538.354823705036,20.285537991935993,"(np.float64(1567.573551044425), np.float64(1360.3163430420711))",16,0.9988426600578789,15.668478788081961,598.0757436705848,2.6443875910236905
3655.7547674638986,0,"(np.float64(1734.4249286924446), np.float64(1539.2084110746532))",17,0.9870300626728454,47.41491021745309,183.0225654416801,6.053825228886236
187.64245143857025,20.0322529964375,"(np.float64(510.48090169067), np.float64(1460.4308077645585))",18,0.8929689578912827,20.08356712130455,867.0875428742326,58.375635544917884
5112.394974296403,0,"(np.float64(1411.1324066297584), np.float64(1661.9550588759578))",19,0.9907357330542705,47.36259177388755,365.78343563194585,5.954017039683453
1420.8639810617935,14.96784972720031,"(np.float64(490.53396945001845), np.float64(1673.355583766739))",20,0.979063494626206,29.747926374930504,298.38313673284244,11.933675338428078
1952.0327363573354,0,"(np.float64(1052.6604220887984), np.float64(1701.137320586492))",21,0.9723459292079911,53.98165147954458,268.31512291917403,10.703223097696032
1328.550270849362,0,"(np.float64(218.4968919389328), np.float64(1711.87861156696))",22,0.965718104365302,45.54522173070754,241.59549361452736,12.761695490980316
129.15087424417518,0,"(np.float64(1749.1647953639986), np.float64(1783.1198840999639))",23,0.6243262593117916,48.51859204046168,64.37839776128388,40.6331805596579
